綜合評分,日文店名,英文店名,Blog
4.36,麻布十番 ふくだ,Fukuda,https://tabelog.com/tw/tokyo/A1307/A130702/13174951/
4.35,アピシウス,APICIUS,https://tabelog.com/tw/tokyo/A1301/A130102/13000145/
4.35,NARISAWA,NARISAWA,https://tabelog.com/tw/tokyo/A1306/A130603/13005423/
4.32,傳,den,https://tabelog.com/tw/tokyo/A1306/A130603/13046855/
4.31,鮨 とかみ,Tokami,https://tabelog.com/tw/tokyo/A1301/A130103/13155234/
4.31,レストラン ラ フィネス,Restaurant La FinS,https://tabelog.com/tw/tokyo/A1301/A130103/13139171/
4.30,SATOブリアン,SATO Buriand,https://tabelog.com/tw/tokyo/A1319/A131905/13127046/
4.30,すし匠 齋藤,Sushi Sho Saito,https://tabelog.com/tw/tokyo/A1308/A130801/13023988/
4.30,K+,NISHIAZABU K+,https://tabelog.com/tw/tokyo/A1307/A130703/13213748/
4.30,AZUR et MASA UEKI,AZUR et MASA UEKI,https://tabelog.com/tw/tokyo/A1307/A130701/13206559/
4.30,鮓 ふじなが,Sushifujinaga,https://tabelog.com/tw/tokyo/A1307/A130702/13209440/
4.29,てんぷら 深町,Fukamachi,https://tabelog.com/tw/tokyo/A1302/A130202/13004105/
4.29,赤坂 らいもん,Akasakaraimon,https://tabelog.com/tw/tokyo/A1308/A130801/13224635/
4.28,鳥さわ22,Torisawa,https://tabelog.com/tw/tokyo/A1307/A130703/13222625/
4.28,中華たかせ,CYUKA TAKASE,https://tabelog.com/tw/tokyo/A1301/A130101/13199649/
4.27,日本料理 太月,Tagetsu,https://tabelog.com/tw/tokyo/A1306/A130602/13160021/
4.27,ひろ作,Hirosaku,https://tabelog.com/tw/tokyo/A1301/A130103/13015266/
4.27,鮨 いまむら,Imamura,https://tabelog.com/tw/tokyo/A1316/A131602/13096905/
4.27,紀尾井町 三谷,Kioicho Mitani,https://tabelog.com/tw/tokyo/A1308/A130801/13198197/
4.27,鮨 鈴木,sushisuzuki,https://tabelog.com/tw/tokyo/A1301/A130101/13184367/
4.26,うなぎ 魚政,Uomasa,https://tabelog.com/tw/tokyo/A1324/A132403/13035339/
4.26,鮨 たかはし,Sushi Takahashi,https://tabelog.com/tw/tokyo/A1301/A130101/13165933/
4.26,いち太,Ichita,https://tabelog.com/tw/tokyo/A1306/A130603/13176396/
4.25,ナベノ-イズム,Nabeno-Ism,https://tabelog.com/tw/tokyo/A1311/A131102/13194700/
4.25,はっこく,Hakkoku,https://tabelog.com/tw/tokyo/A1301/A130101/13217157/
4.25,かわむら,Kawamura,https://tabelog.com/tw/tokyo/A1301/A130101/13016506/
4.25,USHIGORO S. GINZA,USHIGORO S,https://tabelog.com/tw/tokyo/A1301/A130101/13222093/
4.24,スタミナ苑,Sutaminaen,https://tabelog.com/tw/tokyo/A1323/A132305/13003777/
4.24,鮨 ます田,Masuda,https://tabelog.com/tw/tokyo/A1306/A130602/13164883/
4.24,グルマンディーズ,Gourmandise,https://tabelog.com/tw/tokyo/A1307/A130701/13190448/
4.24,神戸牛炉釜ステーキ GINZA KOKO炉,koubegyuurokamasute-kiginzakokoro,https://tabelog.com/tw/tokyo/A1301/A130101/13224979/
4.23,コート ドール,COTE D'OR,https://tabelog.com/tw/tokyo/A1316/A131602/13001681/
4.23,神戸牛炉釜炭焼ステーキ IDEA 銀座,IDEA,https://tabelog.com/tw/tokyo/A1301/A130101/13161192/
4.22,USHIGORO S. NISHIAZABU,USHIGORO S.,https://tabelog.com/tw/tokyo/A1307/A130701/13209611/
4.22,串揚げはやし,Hayashi,https://tabelog.com/tw/tokyo/A1309/A130905/13129802/
4.21,シェ・イノ,Chez Inno,https://tabelog.com/tw/tokyo/A1302/A130202/13000510/
4.21,新ばし しみづ,Shimizu,https://tabelog.com/tw/tokyo/A1301/A130103/13002892/
4.21,ラ ペ,La paix,https://tabelog.com/tw/tokyo/A1302/A130202/13173559/
4.21,天ぷら 元吉,Motoyoshi,https://tabelog.com/tw/tokyo/A1306/A130603/13035758/
4.21,器楽亭,Kirakutei,https://tabelog.com/tw/tokyo/A1318/A131806/13050819/
4.21,はらまさ,Haramasa,https://tabelog.com/tw/tokyo/A1309/A130903/13151542/
4.20,レ セゾン,Les Saisons,https://tabelog.com/tw/tokyo/A1301/A130102/13002294/
4.20,焼鳥　おみ乃,Omino,https://tabelog.com/tw/tokyo/A1312/A131203/13206654/
4.20,喰善 あべ,Shokuzen Abe,https://tabelog.com/tw/tokyo/A1301/A130101/13162190/
